id,query,expected_route,expected_score_min,scope_check,human_gate,gap_type,notes
TS-050,lista de contratos publicos,contratos,1,in,no,none,auto-gerado (TS) para contratos: paráfrase/informal/typo
TS-051,contrato com empresa privada,contratos,1,in,no,none,auto-gerado (TS) para contratos: paráfrase/informal/typo
TS-052,quais sao os contratos ativos,contratos,1,in,no,none,auto-gerado (TS) para contratos: paráfrase/informal/typo
TS-053,contratacao da prefeitura,contratos,1,in,no,none,auto-gerado (TS) para contratos: paráfrase/informal/typo
TS-054,contrato de licitacao,contratos,1,in,no,none,auto-gerado (TS) para contratos: paráfrase/informal/typo
TS-055,quais obra publica ta rolando,obras,1,in,no,none,auto-gerado (TS) para obras: paráfrase/informal/typo
TS-056,obra parada na cidade,obras,1,in,no,none,auto-gerado (TS) para obras: paráfrase/informal/typo
TS-057,lista de obras da prefeitura,obras,1,in,no,none,auto-gerado (TS) para obras: paráfrase/informal/typo
TS-058,reforma de escola ou posto,obras,1,in,no,none,auto-gerado (TS) para obras: paráfrase/informal/typo
TS-059,obra que a prefeitura ta fazendo,obras,1,in,no,none,auto-gerado (TS) para obras: paráfrase/informal/typo
TS-060,andamento das obras publicas,obras,1,in,no,none,auto-gerado (TS) para obras: paráfrase/informal/typo
TS-061,"e o saae, tem dado tbm",autarquias,1,in,no,none,auto-gerado (TS) para autarquias: paráfrase/informal/typo
TS-062,gasto da urbes,autarquias,1,in,no,none,auto-gerado (TS) para autarquias: paráfrase/informal/typo
TS-063,autarquia municipal o que e,autarquias,1,in,no,none,auto-gerado (TS) para autarquias: paráfrase/informal/typo
TS-064,funserv tem informacao,autarquias,1,in,no,none,auto-gerado (TS) para autarquias: paráfrase/informal/typo
TS-065,empresa publica da cidade,autarquias,1,in,no,none,auto-gerado (TS) para autarquias: paráfrase/informal/typo
TS-066,orgao autonomo da prefeitura,autarquias,1,in,no,none,auto-gerado (TS) para autarquias: paráfrase/informal/typo
TS-067,quanto custa a camara de vereador,camara,1,in,no,none,auto-gerado (TS) para camara: paráfrase/informal/typo
TS-068,gasto da camara municipal,camara,1,in,no,none,auto-gerado (TS) para camara: paráfrase/informal/typo
TS-069,salario de vereador,camara,1,in,no,none,auto-gerado (TS) para camara: paráfrase/informal/typo
TS-070,orcamento do legislativo,camara,1,in,no,none,auto-gerado (TS) para camara: paráfrase/informal/typo
TS-071,quanto gasta o legislativo,camara,1,in,no,none,auto-gerado (TS) para camara: paráfrase/informal/typo
TS-072,verba da camara,camara,1,in,no,none,auto-gerado (TS) para camara: paráfrase/informal/typo
TS-073,emenda de vereador o que e,emendas,1,in,no,none,auto-gerado (TS) para emendas: paráfrase/informal/typo
TS-074,verba indicada por vereador,emendas,1,in,no,none,auto-gerado (TS) para emendas: paráfrase/informal/typo
TS-075,quanto cada vereador indicou,emendas,1,in,no,none,auto-gerado (TS) para emendas: paráfrase/informal/typo
TS-076,emenda parlamentar municipal,emendas,1,in,no,none,auto-gerado (TS) para emendas: paráfrase/informal/typo
TS-077,a cidade ta endividada,fiscal,1,in,no,none,auto-gerado (TS) para fiscal: paráfrase/informal/typo
TS-078,divida publica de sorocaba,fiscal,1,in,no,none,auto-gerado (TS) para fiscal: paráfrase/informal/typo
TS-079,situacao fiscal do municipio,fiscal,1,in,no,none,auto-gerado (TS) para fiscal: paráfrase/informal/typo
TS-080,sorocaba deve dinheiro,fiscal,1,in,no,none,auto-gerado (TS) para fiscal: paráfrase/informal/typo
TS-081,saude financeira da prefeitura,fiscal,1,in,no,none,auto-gerado (TS) para fiscal: paráfrase/informal/typo
TS-082,limite de endividamento,fiscal,1,in,no,none,auto-gerado (TS) para fiscal: paráfrase/informal/typo
TS-083,como voces confirmam que o dado e real,auditoria-dados,1,in,no,none,auto-gerado (TS) para auditoria-dados: paráfrase/informal/typo
TS-084,os dado sao auditado,auditoria-dados,1,in,no,none,auto-gerado (TS) para auditoria-dados: paráfrase/informal/typo
TS-085,como e feita a verificacao dos numero,auditoria-dados,1,in,no,none,auto-gerado (TS) para auditoria-dados: paráfrase/informal/typo
TS-086,metodologia de checagem dos dados,auditoria-dados,1,in,no,none,auto-gerado (TS) para auditoria-dados: paráfrase/informal/typo
TS-087,vcs conferem os dados antes de publicar,auditoria-dados,1,in,no,none,auto-gerado (TS) para auditoria-dados: paráfrase/informal/typo
TS-088,de onde saiu esse numero,fontes,1,in,no,none,auto-gerado (TS) para fontes: paráfrase/informal/typo
TS-089,qual a fonte oficial disso,fontes,1,in,no,none,auto-gerado (TS) para fontes: paráfrase/informal/typo
TS-090,cade a fonte do dado,fontes,1,in,no,none,auto-gerado (TS) para fontes: paráfrase/informal/typo
TS-091,esse dado vem de onde,fontes,1,in,no,none,auto-gerado (TS) para fontes: paráfrase/informal/typo
TS-092,posso confiar nesse numero,fontes,1,in,no,none,auto-gerado (TS) para fontes: paráfrase/informal/typo
TS-093,fonte oficial do governo,fontes,1,in,no,none,auto-gerado (TS) para fontes: paráfrase/informal/typo
TS-094,quanto ganha o prefeito,remuneracao,1,in,no,none,auto-gerado (TS) para remuneracao: paráfrase/informal/typo
TS-095,salario dos servidor publico,remuneracao,1,in,no,none,auto-gerado (TS) para remuneracao: paráfrase/informal/typo
TS-096,holerite de funcionario publico,remuneracao,1,in,no,none,auto-gerado (TS) para remuneracao: paráfrase/informal/typo
TS-097,quanto recebe um vereador por mes,remuneracao,1,in,no,none,auto-gerado (TS) para remuneracao: paráfrase/informal/typo
TS-098,remuneracao de servidor,remuneracao,1,in,no,none,auto-gerado (TS) para remuneracao: paráfrase/informal/typo
TS-099,salario do prefeito atual,remuneracao,1,in,no,none,auto-gerado (TS) para remuneracao: paráfrase/informal/typo
TO-001,o que e esse projeto,sobre,1,in,no,none,auto-gerado (TO) para sobre: paráfrase/informal/typo
TO-002,pra que serve esse site,sobre,1,in,no,none,auto-gerado (TO) para sobre: paráfrase/informal/typo
TO-003,quem ta por tras desse site,sobre,1,in,no,none,auto-gerado (TO) para sobre: paráfrase/informal/typo
TO-004,explica o anatomia do gasto pra mim,sobre,1,in,no,none,auto-gerado (TO) para sobre: paráfrase/informal/typo
TO-005,o que e a anatomia dos gasto,sobre,1,in,no,none,auto-gerado (TO) para sobre: paráfrase/informal/typo
TO-006,que site e esse,sobre,1,in,no,none,auto-gerado (TO) para sobre: paráfrase/informal/typo
TO-007,sobre o q e isso aqui,sobre,1,in,no,none,auto-gerado (TO) para sobre: paráfrase/informal/typo
TO-008,esse site e do q mesmo,sobre,1,in,no,none,auto-gerado (TO) para sobre: paráfrase/informal/typo
TO-009,quero entender o q e esse projeto,sobre,1,in,no,none,auto-gerado (TO) para sobre: paráfrase/informal/typo
TO-010,resumo do que e o site,sobre,1,in,no,none,auto-gerado (TO) para sobre: paráfrase/informal/typo
TO-011,qual o objetivo da ong,missao-ong,1,in,no,none,auto-gerado (TO) para missao-ong: paráfrase/informal/typo
TO-012,pra que existe esse projeto,missao-ong,1,in,no,none,auto-gerado (TO) para missao-ong: paráfrase/informal/typo
TO-013,missao do anatomia do gasto,missao-ong,1,in,no,none,auto-gerado (TO) para missao-ong: paráfrase/informal/typo
TO-014,vcs sao financiado por quem,missao-ong,1,in,no,none,auto-gerado (TO) para missao-ong: paráfrase/informal/typo
TO-015,quem banca o projeto,missao-ong,1,in,no,none,auto-gerado (TO) para missao-ong: paráfrase/informal/typo
TO-016,proposito da iniciativa,missao-ong,1,in,no,none,auto-gerado (TO) para missao-ong: paráfrase/informal/typo
TO-017,o q vcs querem alcançar,missao-ong,1,in,no,none,auto-gerado (TO) para missao-ong: paráfrase/informal/typo
TO-018,objetivo principal do projeto,missao-ong,1,in,no,none,auto-gerado (TO) para missao-ong: paráfrase/informal/typo
TO-019,quem sustenta financeiramente o site,missao-ong,1,in,no,none,auto-gerado (TO) para missao-ong: paráfrase/informal/typo
TO-020,meta da ong,missao-ong,1,in,no,none,auto-gerado (TO) para missao-ong: paráfrase/informal/typo
TO-021,isso e coisa de prefeitura,apartidarismo,1,in,no,none,auto-gerado (TO) para apartidarismo: paráfrase/informal/typo
TO-022,esse site e de partido,apartidarismo,1,in,no,none,auto-gerado (TO) para apartidarismo: paráfrase/informal/typo
TO-023,voces sao neutro mesmo,apartidarismo,1,in,no,none,auto-gerado (TO) para apartidarismo: paráfrase/informal/typo
TO-024,tem viés politico nisso,apartidarismo,1,in,no,none,auto-gerado (TO) para apartidarismo: paráfrase/informal/typo
TO-025,quem controla esse site politicamente,apartidarismo,1,in,no,none,auto-gerado (TO) para apartidarismo: paráfrase/informal/typo
TO-026,e projeto de oposicao,apartidarismo,1,in,no,none,auto-gerado (TO) para apartidarismo: paráfrase/informal/typo
TO-027,e a favor de quem esse site,apartidarismo,1,in,no,none,auto-gerado (TO) para apartidarismo: paráfrase/informal/typo
TO-028,site apoia algum candidato,apartidarismo,1,in,no,none,auto-gerado (TO) para apartidarismo: paráfrase/informal/typo
TO-029,isso e ligado ao governo atual,apartidarismo,1,in,no,none,auto-gerado (TO) para apartidarismo: paráfrase/informal/typo
TO-030,como eu ajudo o projeto,voluntariado,1,in,no,none,auto-gerado (TO) para voluntariado: paráfrase/informal/typo
TO-031,quero ser voluntario,voluntariado,1,in,no,none,auto-gerado (TO) para voluntariado: paráfrase/informal/typo
TO-032,posso contribuir de alguma forma,voluntariado,1,in,no,none,auto-gerado (TO) para voluntariado: paráfrase/informal/typo
TO-033,como fazer parte do time,voluntariado,1,in,no,none,auto-gerado (TO) para voluntariado: paráfrase/informal/typo
TO-034,tem vaga pra ajudar,voluntariado,1,in,no,none,auto-gerado (TO) para voluntariado: paráfrase/informal/typo
TO-035,quero colaborar com voces,voluntariado,1,in,no,none,auto-gerado (TO) para voluntariado: paráfrase/informal/typo
TO-036,como doar meu tempo pro projeto,voluntariado,1,in,no,none,auto-gerado (TO) para voluntariado: paráfrase/informal/typo
TO-037,quero participar como voluntario,voluntariado,1,in,no,none,auto-gerado (TO) para voluntariado: paráfrase/informal/typo
TO-038,de q forma posso ajudar,voluntariado,1,in,no,none,auto-gerado (TO) para voluntariado: paráfrase/informal/typo
TO-039,o q e transparencia publica,transparencia-controle-social,1,in,no,none,auto-gerado (TO) para transparencia-controle-social: paráfrase/informal/typo
TO-040,o q e controle social,transparencia-controle-social,1,in,no,none,auto-gerado (TO) para transparencia-controle-social: paráfrase/informal/typo
TO-041,pra que serve fiscalizar o governo,transparencia-controle-social,1,in,no,none,auto-gerado (TO) para transparencia-controle-social: paráfrase/informal/typo
TO-042,papel da sociedade no controle do gasto,transparencia-controle-social,1,in,no,none,auto-gerado (TO) para transparencia-controle-social: paráfrase/informal/typo
TO-043,o q e accountability,transparencia-controle-social,1,in,no,none,auto-gerado (TO) para transparencia-controle-social: paráfrase/informal/typo
TO-044,por que a transparencia importa,transparencia-controle-social,1,in,no,none,auto-gerado (TO) para transparencia-controle-social: paráfrase/informal/typo
TO-045,sociedade pode fiscalizar a prefeitura,transparencia-controle-social,1,in,no,none,auto-gerado (TO) para transparencia-controle-social: paráfrase/informal/typo
TO-046,conceito de transparencia ativa,transparencia-controle-social,1,in,no,none,auto-gerado (TO) para transparencia-controle-social: paráfrase/informal/typo
TO-047,o q e transparencia passiva,transparencia-controle-social,1,in,no,none,auto-gerado (TO) para transparencia-controle-social: paráfrase/informal/typo
TO-048,como peço informacao pelo e-sic,lai,1,in,no,none,auto-gerado (TO) para lai: paráfrase/informal/typo
TO-049,prazo pra responder pedido de informacao,lai,1,in,no,none,auto-gerado (TO) para lai: paráfrase/informal/typo
TO-050,lei de acesso a informacao o q e,lai,1,in,no,none,auto-gerado (TO) para lai: paráfrase/informal/typo
TO-051,como fazer um pedido de informacao publica,lai,1,in,no,none,auto-gerado (TO) para lai: paráfrase/informal/typo
TO-052,custa pra pedir informacao,lai,1,in,no,none,auto-gerado (TO) para lai: paráfrase/informal/typo
TO-053,"orgao nao respondeu meu pedido, e agora",lai,1,in,no,none,auto-gerado (TO) para lai: paráfrase/informal/typo
TO-054,posso recorrer se negarem minha info,lai,1,in,no,none,auto-gerado (TO) para lai: paráfrase/informal/typo
TO-055,quanto tempo o orgao tem pra responder,lai,1,in,no,none,auto-gerado (TO) para lai: paráfrase/informal/typo
TO-056,como funciona a lai,lai,1,in,no,none,auto-gerado (TO) para lai: paráfrase/informal/typo
TO-057,pedido de informacao negado o q fazer,lai,1,in,no,none,auto-gerado (TO) para lai: paráfrase/informal/typo
TO-058,com q tecnologia o site foi feito,tecnologia-site,1,in,no,none,auto-gerado (TO) para tecnologia-site: paráfrase/informal/typo
TO-059,qual linguagem de programacao usaram,tecnologia-site,1,in,no,none,auto-gerado (TO) para tecnologia-site: paráfrase/informal/typo
TO-060,o codigo e aberto,tecnologia-site,1,in,no,none,auto-gerado (TO) para tecnologia-site: paráfrase/informal/typo
TO-061,como acesso o repositorio no github,tecnologia-site,1,in,no,none,auto-gerado (TO) para tecnologia-site: paráfrase/informal/typo
TO-062,posso fazer fork do projeto,tecnologia-site,1,in,no,none,auto-gerado (TO) para tecnologia-site: paráfrase/informal/typo
TO-063,como abro uma issue,tecnologia-site,1,in,no,none,auto-gerado (TO) para tecnologia-site: paráfrase/informal/typo
TO-064,quero sugerir um pull request,tecnologia-site,1,in,no,none,auto-gerado (TO) para tecnologia-site: paráfrase/informal/typo
TO-065,qual a licenca do codigo,tecnologia-site,1,in,no,none,auto-gerado (TO) para tecnologia-site: paráfrase/informal/typo
TO-066,como auditar o codigo fonte,tecnologia-site,1,in,no,none,auto-gerado (TO) para tecnologia-site: paráfrase/informal/typo
TO-067,como os arquivo do projeto sao organizado,estrutura-workspace,1,in,no,none,auto-gerado (TO) para estrutura-workspace: paráfrase/informal/typo
TO-068,o q e esse workspace omega,estrutura-workspace,1,in,no,none,auto-gerado (TO) para estrutura-workspace: paráfrase/informal/typo
TO-069,estrutura de pasta do projeto,estrutura-workspace,1,in,no,none,auto-gerado (TO) para estrutura-workspace: paráfrase/informal/typo
TO-070,como funciona a organizacao interna,estrutura-workspace,1,in,no,none,auto-gerado (TO) para estrutura-workspace: paráfrase/informal/typo
TO-071,onde fica cada coisa no repositorio,estrutura-workspace,1,in,no,none,auto-gerado (TO) para estrutura-workspace: paráfrase/informal/typo
TO-072,arquitetura de diretorio do projeto,estrutura-workspace,1,in,no,none,auto-gerado (TO) para estrutura-workspace: paráfrase/informal/typo
TO-073,como e dividido o workspace,estrutura-workspace,1,in,no,none,auto-gerado (TO) para estrutura-workspace: paráfrase/informal/typo
TO-074,organizacao dos dados no projeto,estrutura-workspace,1,in,no,none,auto-gerado (TO) para estrutura-workspace: paráfrase/informal/typo
TO-075,estrutura tecnica do workspace,estrutura-workspace,1,in,no,none,auto-gerado (TO) para estrutura-workspace: paráfrase/informal/typo
TO-076,o q vem por ai no projeto,roadmap-proximos,1,in,no,none,auto-gerado (TO) para roadmap-proximos: paráfrase/informal/typo
TO-077,quais os proximos passo do site,roadmap-proximos,1,in,no,none,auto-gerado (TO) para roadmap-proximos: paráfrase/informal/typo
TO-078,vao adicionar mais cidade,roadmap-proximos,1,in,no,none,auto-gerado (TO) para roadmap-proximos: paráfrase/informal/typo
TO-079,roadmap do projeto,roadmap-proximos,1,in,no,none,auto-gerado (TO) para roadmap-proximos: paráfrase/informal/typo
TO-080,planos futuros do anatomia do gasto,roadmap-proximos,1,in,no,none,auto-gerado (TO) para roadmap-proximos: paráfrase/informal/typo
TO-081,o q ainda falta fazer,roadmap-proximos,1,in,no,none,auto-gerado (TO) para roadmap-proximos: paráfrase/informal/typo
TO-082,proxima atualizacao do site,roadmap-proximos,1,in,no,none,auto-gerado (TO) para roadmap-proximos: paráfrase/informal/typo
TO-083,vao expandir pra outras cidades,roadmap-proximos,1,in,no,none,auto-gerado (TO) para roadmap-proximos: paráfrase/informal/typo
TO-084,o q ta no planejamento,roadmap-proximos,1,in,no,none,auto-gerado (TO) para roadmap-proximos: paráfrase/informal/typo
TO-085,o q e esse sandbox do theo,sandbox-theo,1,in,no,none,auto-gerado (TO) para sandbox-theo: paráfrase/informal/typo
TO-086,pra que serve essa caixa de teste,sandbox-theo,1,in,no,none,auto-gerado (TO) para sandbox-theo: paráfrase/informal/typo
TO-087,posso testar o theo aqui,sandbox-theo,1,in,no,none,auto-gerado (TO) para sandbox-theo: paráfrase/informal/typo
TO-088,o q e essa area de experimento,sandbox-theo,1,in,no,none,auto-gerado (TO) para sandbox-theo: paráfrase/informal/typo
TO-089,sandbox o q significa aqui,sandbox-theo,1,in,no,none,auto-gerado (TO) para sandbox-theo: paráfrase/informal/typo
TO-090,onde testo perguntas pro assistente,sandbox-theo,1,in,no,none,auto-gerado (TO) para sandbox-theo: paráfrase/informal/typo
TO-091,area de teste do assistente virtual,sandbox-theo,1,in,no,none,auto-gerado (TO) para sandbox-theo: paráfrase/informal/typo
TO-092,o q e esse ambiente de teste,sandbox-theo,1,in,no,none,auto-gerado (TO) para sandbox-theo: paráfrase/informal/typo
TO-093,o q sao os agente inteligente do projeto,agentes-maestro,1,in,no,none,auto-gerado (TO) para agentes-maestro: paráfrase/informal/typo
TO-094,o q e o maestro do anatomia do gasto,agentes-maestro,1,in,no,none,auto-gerado (TO) para agentes-maestro: paráfrase/informal/typo
TO-095,como funciona a automacao do site,agentes-maestro,1,in,no,none,auto-gerado (TO) para agentes-maestro: paráfrase/informal/typo
TO-096,ia que ajuda a coletar os dados,agentes-maestro,1,in,no,none,auto-gerado (TO) para agentes-maestro: paráfrase/informal/typo
TO-097,quem coordena os agente automatico,agentes-maestro,1,in,no,none,auto-gerado (TO) para agentes-maestro: paráfrase/informal/typo
TO-098,o q e essa parte de agentes do projeto,agentes-maestro,1,in,no,none,auto-gerado (TO) para agentes-maestro: paráfrase/informal/typo
TO-099,automacao por inteligencia artificial no projeto,agentes-maestro,1,in,no,none,auto-gerado (TO) para agentes-maestro: paráfrase/informal/typo
TO-100,como a ia ajuda a manter o site,agentes-maestro,1,in,no,none,auto-gerado (TO) para agentes-maestro: paráfrase/informal/typo
TS-100,quanto o vereador indicou de emenda,emendas,1,in,no,none,auto-gerado (TS) para emendas: paráfrase/informal/typo
